step,nll_loss
2988,5.125
2989,3.328125
2990,3.671875
2991,5.28125
2992,5.3125
2993,6.0
2994,5.15625
2995,7.34375
2996,6.0625
2997,6.15625
2998,6.28125
2999,4.625
3000,5.28125
3001,5.75
3002,5.0
3003,5.28125
3004,5.46875
3005,3.71875
3006,7.09375
3007,5.28125
3008,5.4375
3009,4.15625
3010,6.03125
3011,5.84375
3012,5.4375
3013,6.65625
3014,5.0625
3015,5.59375
3016,5.125
3017,5.8125
3018,5.5
3019,3.125
3020,5.46875
3021,5.4375
3022,3.625
3023,5.21875
3024,5.78125
3025,5.09375
3026,6.40625
3027,3.875
3028,3.375
3029,3.65625
3030,5.84375
3031,5.3125
3032,6.09375
3033,4.15625
3034,5.84375
3035,5.09375
3036,6.34375
3037,5.5
3038,5.59375
3039,5.28125
3040,5.0
3041,5.40625
3042,6.03125
3043,4.96875
3044,4.6875
3045,4.8125
3046,4.34375
3047,6.15625
3048,6.0625
3049,5.3125
3050,5.875
3051,6.4375
3052,4.65625
3053,5.375
3054,4.3125
3055,4.84375
3056,4.9375
3057,5.65625
3058,3.609375
3059,5.90625
3060,5.53125
3061,6.53125
3062,4.03125
3063,4.65625
3064,6.375
3065,4.4375
3066,4.75
3067,5.90625
3068,5.71875
3069,5.15625
3070,5.625
3071,6.65625
3072,5.21875
3073,5.9375
3074,3.828125
3075,6.3125
3076,4.75
3077,4.46875
3078,4.1875
3079,5.65625
3080,4.75
3081,6.28125
3082,5.8125
3083,5.09375
3084,6.15625
3085,4.53125
3086,4.3125
3087,6.25
3088,5.9375
3089,4.6875
3090,5.40625
3091,5.0625
3092,5.8125
3093,4.65625
3094,4.5625
3095,5.90625
3096,5.78125
3097,6.125
3098,5.71875
3099,6.21875
3100,5.5
3101,4.90625
3102,4.78125
3103,4.125
3104,6.125
3105,4.90625
3106,5.03125
3107,5.625
3108,5.28125
3109,6.25
3110,4.0
3111,3.6875
3112,6.125
3113,4.84375
3114,5.28125
3115,4.71875
3116,5.125
3117,5.75
3118,4.15625
3119,6.09375
3120,3.359375
3121,5.46875
3122,4.21875
3123,4.28125
3124,4.875
3125,5.78125
3126,5.65625
3127,5.59375
3128,6.71875
3129,5.21875
3130,5.96875
3131,4.8125
3132,5.6875
3133,4.625
3134,6.375
3135,5.34375
3136,6.0
3137,5.46875
3138,5.28125
3139,6.375
3140,3.9375
3141,5.90625
3142,4.5
3143,5.34375
3144,6.46875
3145,5.3125
3146,4.75
3147,5.21875
3148,4.5
3149,5.78125
3150,6.09375
3151,4.4375
3152,3.890625
3153,6.5
3154,6.1875
3155,6.375
3156,6.03125
3157,6.65625
3158,6.8125
3159,6.09375
3160,3.40625
3161,6.78125
3162,5.84375
3163,5.75
3164,5.40625
3165,5.65625
3166,6.03125
3167,7.1875
3168,4.09375
3169,5.21875
3170,5.90625
3171,4.8125
3172,5.21875
3173,4.5625
3174,6.09375
3175,4.40625
3176,5.3125
3177,5.84375
3178,6.28125
3179,5.5
3180,6.6875
3181,6.125
3182,5.09375
3183,3.421875
3184,5.8125
3185,5.34375
3186,5.46875
3187,4.8125
3188,5.96875
3189,5.0625
3190,4.46875
3191,6.8125
3192,4.625
3193,6.4375
3194,4.125
3195,5.0625
3196,5.59375
3197,4.875
3198,3.921875
3199,5.5625
3200,6.0
3201,4.53125
3202,5.84375
3203,5.90625
3204,4.71875
3205,6.09375
3206,6.0625
